FID,STATE,FIPS,TRT,TRTKEY,CTTRTKEY,FENAME,COLOR,anglo,asian,hisp,total,vap,black,bh,nanglo,anglovap,hispvap,bhvap,blackvap,asianvap,nanglovap,Shape_Leng,Shape_Ar_1
83,48,021,950102,84,021950102,BASTROP,4,3048,65,2841,6373,4645,309,3111,3325,2509,1766,1963,207,47,2136,83309.596976999993785,189134196.587000012397766
84,48,021,950201,85,021950201,BASTROP,4,957,22,1777,3299,2470,542,2272,2342,819,1194,1593,411,17,1651,20268.157769800000096,14903449.548499999567866
85,48,021,950202,86,021950202,BASTROP,4,1967,54,2609,5631,4088,977,3514,3664,1624,1721,2345,643,37,2464,24852.807162299999618,22046470.538199998438358
86,48,021,950301,87,021950301,BASTROP,4,3264,152,1390,5236,4193,326,1691,1972,2750,970,1208,245,112,1443,73048.976720699996804,86059000.484200000762939
87,48,021,950302,88,021950302,BASTROP,4,2709,151,1235,4729,3579,495,1709,2020,2191,797,1153,367,104,1388,67775.237087000001338,138508339.509999990463257
88,48,021,950303,89,021950303,BASTROP,4,3365,125,3336,7638,5688,650,3928,4273,2835,2148,2587,463,72,2853,61618.438251300001866,124012895.297999992966652
89,48,021,950401,90,021950401,BASTROP,4,2981,94,1314,5226,4160,714,1991,2245,2544,907,1419,528,64,1616,28580.196011200001522,23921117.546100001782179
90,48,021,950402,91,021950402,BASTROP,4,1753,49,409,2390,1933,94,490,637,1476,279,330,59,47,457,16695.797232900000381,8251768.308170000091195
91,48,021,950403,92,021950403,BASTROP,4,1938,90,818,3159,2458,244,1035,1221,1616,543,720,184,59,842,21585.367265600001701,15034425.835300000384450
92,48,021,950503,93,021950503,BASTROP,4,2771,65,943,4028,3246,117,1043,1257,2338,663,731,75,41,908,92417.766562499993597,211401375.453000009059906
93,48,021,950504,94,021950504,BASTROP,4,2357,56,1254,3923,3088,110,1349,1566,2040,822,886,77,31,1048,76769.165915000005043,136516473.712000012397766
94,48,021,950505,95,021950505,BASTROP,4,1751,17,2982,5052,3416,254,3195,3301,1417,1770,1926,170,13,1999,52767.333656100003282,110277082.490999996662140
95,48,021,950506,96,021950506,BASTROP,4,1732,36,2961,5340,4165,521,3448,3608,1521,2112,2517,419,28,2644,55219.015013600001112,53160909.916299998760223
96,48,021,950601,97,021950601,BASTROP,4,3058,53,671,4017,3151,137,788,959,2469,446,547,110,29,682,121518.649189999996452,427949359.134999990463257
97,48,021,950602,98,021950602,BASTROP,4,1666,22,476,2323,1836,99,572,657,1364,323,395,73,16,472,64950.899587799998699,203168261.891000002622604
98,48,021,950700,99,021950700,BASTROP,4,2902,61,934,4554,3524,562,1469,1652,2422,600,979,394,37,1102,31812.002858700001525,26077455.960499998182058
99,48,021,950803,100,021950803,BASTROP,4,344,13,3028,3452,2343,64,3080,3108,277,2009,2047,46,9,2066,25873.212099899999885,19040759.079900000244379
100,48,021,950804,101,021950804,BASTROP,4,1857,59,3125,5269,3848,177,3266,3412,1596,2023,2128,129,39,2252,57440.560373200001777,120865670.871000006794930
101,48,021,950805,102,021950805,BASTROP,4,1105,26,5458,6745,4470,113,5537,5640,905,3421,3491,82,17,3565,32598.418948099999398,58515528.064800001680851
102,48,021,950806,103,021950806,BASTROP,4,1466,18,1568,3278,2452,136,1692,1812,1229,1036,1132,100,9,1223,65680.587731999999960,117714038.214000001549721
103,48,023,950301,104,023950301,BAYLOR,5,1115,7,193,1403,1060,59,239,288,869,121,152,36,0,191,37629.125649299996439,62391833.424500003457069
104,48,023,950302,105,023950302,BAYLOR,5,1682,15,246,2062,1576,54,295,380,1343,154,177,23,6,233,230659.613256000011461,2265621697.690000057220459
105,48,025,950100,106,025950100,BEE,5,837,13,802,1712,1361,11,808,875,723,584,588,6,9,638,116727.165290999997524,600588710.161000013351440
106,48,025,950201,107,025950201,BEE,5,1721,43,4488,8083,7858,1833,6298,6362,1642,4346,6154,1823,38,6216,111592.613186999995378,387607704.547999978065491
107,48,025,950203,108,025950203,BEE,5,717,6,1331,2088,1590,24,1347,1371,580,987,994,11,4,1010,96785.894025200002943,371229055.480000019073486
108,48,025,950204,109,025950204,BEE,5,1424,38,1340,2910,2347,64,1402,1486,1233,995,1041,46,33,1114,149281.910349000012502,477764812.259000003337860
109,48,025,950300,110,025950300,BEE,5,1304,89,3506,5135,3835,227,3686,3831,1101,2478,2615,162,71,2734,16246.038167999999132,10561552.091099999845028
110,48,025,950400,111,025950400,BEE,5,367,21,1441,1907,1420,61,1493,1540,307,1039,1080,45,20,1113,14189.155540600000677,4754922.616689999587834
111,48,025,950501,112,025950501,BEE,5,754,49,2415,3394,2436,155,2549,2640,608,1650,1758,111,45,1828,7937.974067209999703,4064228.192069999873638
112,48,025,950502,113,025950502,BEE,5,521,32,2835,3545,2422,154,2965,3024,381,1925,1998,81,30,2041,12330.188328199999887,5544992.994509999640286
113,48,025,950600,114,025950600,BEE,5,955,16,1234,2273,1753,29,1256,1318,769,916,933,18,14,984,97895.603378100000555,413501832.198000013828278
114,48,027,020101,115,027020101,BELL,4,2156,23,649,3037,2214,118,749,881,1643,413,471,61,13,571,43543.941641400000663,80306588.994200006127357
115,48,027,020102,116,027020102,BELL,4,3211,39,718,4219,3129,128,828,1008,2491,433,495,64,28,638,102518.155454000007012,286927703.121999979019165
116,48,027,020201,117,027020201,BELL,4,6428,436,1228,8787,6320,537,1679,2359,4812,749,1052,330,279,1508,24437.483874900000956,25475929.945099998265505
117,48,027,020203,118,027020203,BELL,4,3458,85,692,4549,3541,175,842,1091,2811,464,546,100,53,730,83215.275991100003012,53031444.435599997639656
118,48,027,020204,119,027020204,BELL,4,1996,36,541,2741,2139,74,596,745,1610,377,405,44,19,529,68003.744458400004078,165610483.064000010490417
119,48,027,020301,120,027020301,BELL,4,5658,451,2029,9333,6454,1106,3016,3675,4129,1213,1872,708,270,2325,22148.610516699998698,19002041.292100001126528
120,48,027,020302,121,027020302,BELL,4,3114,302,1513,5641,3854,700,2091,2527,2255,935,1307,434,197,1599,33706.457193499998539,44285177.495499998331070
121,48,027,020401,122,027020401,BELL,4,1553,72,977,3564,2644,971,1856,2011,1291,640,1230,624,61,1353,26410.602598199999193,30728844.121700000017881
122,48,027,020402,123,027020402,BELL,4,1181,33,1141,2926,2165,550,1659,1745,969,731,1125,401,12,1196,34762.216201099996397,55199213.069600000977516
123,48,027,020500,124,027020500,BELL,4,1621,52,1363,3825,2884,765,2062,2204,1357,929,1415,506,34,1527,11752.065704000000551,4446725.985039999708533
124,48,027,020600,125,027020600,BELL,4,1334,32,742,2477,1903,319,1035,1143,1128,484,704,226,18,775,7477.235675089999859,2572018.595799999777228
125,48,027,020701,126,027020701,BELL,4,512,16,456,1438,1151,450,877,926,457,330,653,339,7,694,5691.707397510000192,1633270.023210000013933
126,48,027,020702,127,027020702,BELL,4,352,19,848,1522,1151,313,1129,1170,287,619,829,219,8,864,11202.439167500000622,3556910.974560000002384
127,48,027,020800,128,027020800,BELL,4,562,23,1296,3169,2264,1317,2561,2607,463,790,1773,1011,10,1801,24577.875960500001383,31013395.364500001072884
128,48,027,020900,129,027020900,BELL,4,1176,42,943,3052,2367,845,1751,1876,1043,628,1223,606,36,1324,18996.447063600000547,12747960.520800000056624
129,48,027,021000,130,027021000,BELL,4,1627,58,1556,4255,3319,986,2476,2628,1428,1095,1769,704,53,1891,8684.530135929999233,3674132.384260000195354
130,48,027,021101,131,027021101,BELL,4,1434,160,496,2585,2236,481,951,1151,1327,388,735,364,141,909,7295.729320409999673,2180583.483250000048429
131,48,027,021102,132,027021102,BELL,4,1391,32,1323,3233,2398,434,1721,1842,1168,867,1143,292,18,1230,5321.055819369999881,1845287.365029999986291
132,48,027,021201,133,027021201,BELL,4,1845,145,906,3654,2885,722,1554,1809,1617,611,1085,511,104,1268,11273.406605500000296,3953136.037260000128299
133,48,027,021202,134,027021202,BELL,4,2177,95,904,3953,3136,730,1570,1776,1854,599,1114,538,78,1282,8621.500398820000555,4177414.380619999952614
134,48,027,021203,135,027021203,BELL,4,2714,135,876,4271,3523,466,1296,1557,2397,599,913,334,97,1126,28557.044191199998750,15240157.302600000053644
135,48,027,021301,136,027021301,BELL,4,2956,191,930,4796,3863,650,1531,1840,2575,627,1047,444,134,1288,7762.413512049999554,2731564.553710000123829
136,48,027,021302,137,027021302,BELL,4,2202,76,421,2956,2495,219,604,754,1970,267,404,145,60,525,9677.745379030000549,3422927.182130000088364
137,48,027,021304,138,027021304,BELL,4,2200,263,1143,4955,3721,1395,2395,2755,1879,722,1555,883,207,1842,9550.900000569999975,3809774.173930000048131
138,48,027,021305,139,027021305,BELL,4,4271,584,1262,7313,5311,1038,2216,3042,3284,793,1443,678,398,2027,23314.223417299999710,16910415.647500000894070
139,48,027,021400,140,027021400,BELL,4,3192,94,819,4352,3202,131,924,1160,2447,509,581,83,57,755,69766.025217100002919,94322678.524200007319450
140,48,027,021501,141,027021501,BELL,4,1549,99,1729,3940,2780,591,2232,2391,1222,1137,1443,337,60,1558,17141.272434800001065,10029882.084799999371171
141,48,027,021502,142,027021502,BELL,4,2853,123,1082,4594,3352,433,1475,1741,2236,679,936,269,81,1116,54519.908183799998369,51416430.775200001895428
142,48,027,021601,143,027021601,BELL,4,2685,114,3021,6785,5299,883,3838,4100,2321,2101,2785,715,82,2978,21334.109681499998260,13059665.151000000536442
143,48,027,021602,144,027021602,BELL,4,1393,70,751,2653,2441,457,1158,1260,1329,629,1025,429,58,1112,18216.042884599999525,13219122.976399999111891
144,48,027,021701,145,027021701,BELL,4,4117,255,909,5673,4302,290,1162,1556,3266,576,753,201,174,1036,27325.986687600001460,18533769.433100000023842
145,48,027,021702,146,027021702,BELL,4,3106,130,829,4454,3523,288,1082,1348,2584,553,732,197,97,939,13717.637138800000685,6677239.542759999632835
146,48,027,021801,147,027021801,BELL,4,2843,229,1445,5635,4021,1068,2364,2792,2204,868,1506,701,161,1817,29619.478992100001051,24982239.471500001847744
147,48,027,021802,148,027021802,BELL,4,2564,281,1260,5065,3840,881,2087,2501,2068,827,1462,666,201,1772,33255.219634000000951,46974389.811399996280670
148,48,027,021901,149,027021901,BELL,4,1590,175,797,3442,2667,836,1563,1852,1377,523,1067,572,129,1290,11115.887063300000591,3711121.330099999904633
149,48,027,021905,150,027021905,BELL,4,2091,440,1005,4749,3529,1178,2084,2658,1619,647,1457,859,339,1910,9086.479712450000079,3860717.716719999909401
150,48,027,021906,151,027021906,BELL,4,1980,585,1082,5732,3812,2099,3023,3752,1377,655,1975,1402,352,2435,9139.436656519999815,3593339.053830000106245
151,48,027,021907,152,027021907,BELL,4,2348,299,986,4924,3606,1172,2056,2576,1880,639,1341,747,203,1726,8095.883565770000132,3337845.102979999966919
152,48,027,021908,153,027021908,BELL,4,3373,556,1750,7739,5605,1939,3480,4366,2641,1117,2322,1290,355,2964,29158.004542999999103,21170507.398499999195337
153,48,027,022001,154,027022001,BELL,4,1468,185,1241,4168,3029,1218,2349,2700,1187,784,1577,840,128,1842,9480.791531540000506,4380824.211409999988973
154,48,027,022002,155,027022002,BELL,4,2366,202,871,4769,3539,1234,2042,2403,1921,551,1329,809,142,1618,84240.906014499996672,55801733.238200001418591
155,48,027,022101,156,027022101,BELL,4,1120,245,1076,4102,3081,1742,2617,2982,961,711,1829,1217,197,2120,8167.064816410000276,2339573.937690000049770
156,48,027,022103,157,027022103,BELL,4,1277,260,1380,5053,3585,2175,3364,3776,1022,902,2258,1443,187,2563,8361.856799360000878,2531781.573989999946207
157,48,027,022104,158,027022104,BELL,4,1046,209,938,4212,3245,2047,2852,3166,896,678,2090,1485,161,2349,6407.846963859999960,1777938.058889999985695
158,48,027,022105,159,027022105,BELL,4,635,141,607,2216,1592,889,1409,1581,528,415,932,554,108,1064,5722.184688540000025,1961434.205550000071526
159,48,027,022200,160,027022200,BELL,4,908,196,1080,3827,2856,1642,2599,2919,794,740,1792,1108,156,2062,12356.956449499999508,5205977.192239999771118
160,48,027,022300,161,027022300,BELL,4,1142,151,1063,3811,2928,1454,2380,2669,1000,721,1684,1028,141,1928,15179.171154499999830,8903152.699829999357462
161,48,027,022401,162,027022401,BELL,4,1150,330,1563,5741,4104,2779,4112,4591,968,1004,2763,1861,264,3136,8611.863237260000460,3823692.875719999894500
162,48,027,022402,163,027022402,BELL,4,1751,517,1615,7003,4846,3224,4536,5252,1305,1024,3041,2154,324,3541,11735.472803900000144,6937159.302249999716878
163,48,027,022403,164,027022403,BELL,4,1279,356,1207,4597,3387,1763,2812,3318,1077,759,1911,1209,277,2310,6091.357852099999945,2120101.191389999818057
164,48,027,022405,165,027022405,BELL,4,658,178,541,2183,1771,832,1301,1525,585,430,996,617,150,1186,7229.745690609999656,2363837.509070000145584
165,48,027,022406,166,027022406,BELL,4,964,383,854,3979,2765,1801,2520,3015,734,544,1691,1212,260,2031,8099.863459920000423,2832200.488870000001043
166,48,027,022407,167,027022407,BELL,4,1089,287,1058,3931,2806,1598,2484,2842,838,691,1715,1110,184,1968,6941.480853789999856,2074108.391779999947175
167,48,027,022501,168,027022501,BELL,4,1147,176,1229,3573,2641,1009,2122,2426,948,822,1456,683,115,1693,7120.172262510000110,2259565.927410000003874
168,48,027,022503,169,027022503,BELL,4,1364,458,1443,5434,4285,2253,3495,4070,1192,1043,2600,1656,385,3093,9159.484293310000794,4683126.744640000164509
169,48,027,022504,170,027022504,BELL,4,2371,655,2133,8790,5821,3724,5556,6419,1751,1300,3456,2290,402,4070,18286.374968000000081,16974443.935499999672174
170,48,027,022600,171,027022600,BELL,4,1036,156,1650,4242,3208,1456,2942,3206,908,1125,2076,1045,127,2300,8647.916454059999523,2238725.038550000172108
171,48,027,022801,172,027022801,BELL,4,601,123,732,2653,2011,1214,1853,2052,527,506,1324,870,89,1484,4510.281319730000178,1095064.656179999932647
172,48,027,022900,173,027022900,BELL,4,951,176,1079,3649,2757,1446,2418,2698,819,730,1702,1015,148,1938,7726.115869739999653,2296633.937200000043958
173,48,027,023001,174,027023001,BELL,4,1414,552,1544,6167,4123,2716,4023,4753,1052,968,2553,1697,368,3071,8212.377820060000886,4097493.718510000035167
174,48,027,023002,175,027023002,BELL,4,1399,233,1167,4170,3138,1331,2423,2771,1200,760,1651,926,189,1938,10465.180650599999353,3987176.985309999901801
175,48,027,023103,176,027023103,BELL,4,1135,362,1054,4450,3345,1907,2805,3315,976,701,1948,1301,294,2369,7898.292370590000246,2536347.951549999881536
176,48,027,023104,177,027023104,BELL,4,954,163,1000,3253,2473,1181,2063,2299,802,689,1481,853,132,1671,6162.551605229999950,1807538.518110000062734
177,48,027,023109,178,027023109,BELL,4,892,229,1002,3903,2793,1811,2652,3011,722,674,1804,1214,172,2071,5744.306196470000032,1834669.789360000053421
